,,Form name,Form name,Form name,Form name,Form name,Form name,Form name,Welsh,Welsh,Welsh,Guidance,Guidance,Guidance,Relationships,Relationships,Relationships,Relationships,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Channel,Usage,Usage,Usage,Usage,Owner,Owner,Owner,Owner,Owner,Owner,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Eligibility,Pay,Pay,
,,500,5046,,Notice of Curfew Order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5046A,,Notice to contractor of Curfew Order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5047,,Supervision Order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5048,,Bail order for release from custody subject to compliance with conditions,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5049,,Blank form of order,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5050,,Confiscation Order (S2 Drug trafficking Act 1994),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5050A,,Confiscation Certificate (s5(2) Drug trafficking act 1994),M,,,,,,,,,,,,,,,,,,,,,,,,103,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5051,,Certificate of Conviction (Sentence),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5052,,Certificate of Conviction (Trial),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5053,,Certificate of reasons for refusal to state a case,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5054,,Extended sentence certificate,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5055,,Certificate that a case is fit for appeal,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5056,,Certificate of Conviction or finding Sex offenders act 1997 s5(2),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5061,,Warrant for arrest,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5062,,Witness warrant,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5063,,Warrant for arrest - offence committed during probation period or period of conditional discharge,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5064,,Warrant for arrest - Breach of suspended sentence,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5064A,,Warrant for arrest offence committed during a partly suspended sentence,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5066,,Information in support of application warrant to enter & search premises PACE,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5071,,Where defendant has not been committed,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5072,,Witness summons,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5074,,Offence committed during suspended sentence,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5074A,,Offence committed during a partly suspended sentence,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5075,,Offence committed during probation period or period of conditional discharge,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5081,,Enclosure list,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5081a,,Enclosure list - magistrates,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5082,,File cover - buff (standard),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5082A,,File cover - buff (large),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5083,,File cover - orange,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5084,,File cover - green,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5085,,Listing information questionnaire,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5085A,,Defence listing information,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5086,,Index card,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088A,,Court Clerks hearing record,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088B,,Court Clerks hearing record - results of counts on the indictments,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088C,,Court Clerks hearing record - Offences committed under s.41 of Criminal Justice Act,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088D,,Court Cerks hearing record - offences committed for sentence,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088E,,Court Clerks hearing record - results of breaches of previous orders,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5088F,,Court Clerks hearing record - results of criminal appeals from Magistrates Court,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5089,,Record sheet for trials,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5090,,Running list,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5091,,Exhibit wallet,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5092,,Acknowledgement of receipt of papers from Magistrates Court,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5093,,Human Rights Act - Issues arising under the European Convention on Human Rights,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5101,,Surety on probation order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102,,Bail: Record of decision - Conditional or unconditional grant,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102A,,Bail: Withheld record of decision,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102B,,Bail: Record of decision - Variation of conditions or subsequent imposition of conditions on bail granted unconditionally,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102C,,Bail application,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102D,,Bail - recognizance of a surety,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102E,,Appeal against a grant of bail: bail granted,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5102F,,Appeal against a grant of a bail: bail withheld,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5103,,Recognizance - Keep the peace and Sureties,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5104,,General recognizance and sureties,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5105,,Order of recognizance to keep proper care: criminal proceedings,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5110,,Justices expenses sheet,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5111,,Jurors expenses sheet,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5112,,Payment to jurors (cash),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5112A,,Payments to jurors (payable order),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5113,,Ordinary witnesses expenses sheet,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5113A,,Professional (or expert) witness expenses sheet (VAT),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5114,,Receipt book,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5119,,Miscellaneous voucher,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5120,,Miscellaneous receipt book,---,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5121,,Daily Balance Sheet (branch Office),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5122,,Judge's Questionnaire,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5122A,,Plea and Directions Hearing Supplementary Pre-Trial check list for cases involving young witnesses,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5122ANotes,,Guidance Notes for the above,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5122W,,Bi-lingual Judges Questionnaire,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5123,,Exhibit label - gummed,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5124,,Exhibit label - tie on,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5125,,Exhibit list,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5130,,A guide to proceedings in the Court of Appeal - Criminal Division,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5131,,Application for Legal Aid by applicant (Form 1),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5131A,,Application for Legal Aid in criminal proceedings after a death of a defendant or appellant,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5132,,Statement of means by applicant or appropriate contributor for Legal Aid Purposes (Form 5),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5134,,Legal Aid Order,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5135,,Order amending Legal Aid Order,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5136,,Order withdrawing Legal Aid Order,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5136A,,Notice of withholding Legal Aid Order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5136B,,Notice of refusal to grant Legal Aid,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5137,,Legal Aid - contribution order,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5137,,Reverse of above,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5138,,Extension of Legal Aid for more than one Advocate or QC alone,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5139,,Variation or revocation of contribution order,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5140,,Solicitors attendance at court,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5142,,Monthly returns of computer input summaries (Counsel & Solicitors fees),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5143,,Grant of Legal Aid Order,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5144,,Solicitors claim for cost in Legal Aid Proceedings (cost) Regulations 1982 Reg 4,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5144A,,Solicitors claim for standard fees in Legal Aid in Criminal proceedings (costs) regulations 1987,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5144B,,Counsels claim Graduated Fees,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5144C,,Fixed claim fee,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5144(CTT),,Solicitors claim for fees (over £4000) (Central Taxing Teams only),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5145,,Counsels claim for fees for Legal Aid in Criminal Proceedings (costs) Regulations 1982 Reg 7,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5145A,,Counsels claim for standard fees in Legal Aid,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5145(CTT),,Counsels claim for fees (over £4000)(Central Taxing Teams only),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5146,,Re-determination of Legal Aid Costs (Solicitors),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5146A,,Review of Legal Aid costs in standard fee cases - Solicitors,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5147,,Re-determination of legal aid fees (counsel),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5148,,Legal Aid costs: result of appeal to Taxing Master - (solicitors),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5148A,,Legal Aid costs: result of appeal to Taxing Master on review of standard fees,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5149,,Legal Aid fees: results of appeal to Taxing Master (counsel),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5150,,Notice to Jurors (display cards),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5152,,General oath - Juror,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5152W,,General Oath - Juror - Welsh translation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5153,,General affirmation - Juror,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5153W,,General affirmation - Juror - Welsh translation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5154,,General oath/affirmation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5155,,Voire Dire (oath/affirmation),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5156,,Oath to be taken by person under 17 years of age,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5160,,Jury viewing Locus in Quo- oath/affirmation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5161,,Interpreter - oath/affirmation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5162,,Judicial oath - oath of allegiance,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5162A,,Oath card - affirmation,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5171,,Weekly return/Crown Court cases received & disposed of,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5171A,,Outstanding trial cases,Crest,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5172,,Young witness evidence form,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5220,,"Explanatory leaflet for jury service (Urdu, Hindi, Punjabi, Bengali & Gurjrati)",CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5221,,Jury summons,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5221W,,Jury summons - Welsh version,W&C,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5222,,Explanatory leaflet for jurors (for EDS only after june 2000),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5222W,,Explanatory leaflet for jurors - Welsh version,W&C,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5223,,Jurors loss of earnings certificate,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5224,,Letter of withdrawal of jury summons,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5225,,Letter of excusal,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5226,,Letter of non-excusal,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5226A,,Letter of non-deferral of jury service,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5227,,Letter requesting further information,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5228,,Letter requesting return of attachment,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5229,,Letter for postponement,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5229A,,Letter of deferral of jury service,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5230,,Release from jury service,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5231,,Initial list of jurors,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5232,,Panel of jurors,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5233,,Ballot cards (perforated 8 cards to one sheet),CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5234,,Certificate of attendance as a juror,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5235,,Notice to show cause,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5252,,Court Log,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5256,,Bulk payments to solicitors/counsel,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5257,,Taxing Folder,CSF,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5301,,Defence application for dismissal (or extension),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5302,,Application by prosecution for oral hearing (or extension),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5303,,Notice of court decision (application extension or preparatory hearing),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5304,,Notification of judge's determination of application for dismissal,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5305,,Application for Preparatory Hearing under s.7 (2) Criminal Justice Act 1987 or for the extension of time within which to apply.,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5306,,Notification of the Courts Determination of an Application and or/ Order for a Preparatory hearing under s.7 Criminal Justice Act 1987,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5307,,Order for defence disclosure prior to preparatory hearing or at hearing under s.9 (5) Criminal Justice Act 1987,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5308,,Notice of application for leave to use television link where witness is under age of 14,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5309,,Application for preparatory hearing under s.29(4) criminal procedure and Investigations act 1996 or for extension of time within which to apply.,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5310,,Notification of the court's determination of an application and or/Order for a Preparatory hearing under s.29 Criminal Procedure and Investigation Act 1996,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5311,,"Order for defence Disclosure prior to preparatory hearing or at Preparatory hearing under s.31 (6), (7) OR (9) Criminal Procedure and Investigations Act 1996",M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5312,,Notice and grounds of appeal or application for leave to appeal under s.35(1) criminal procedure and Investigations Act 1996 (preparatory Hearing),M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5312(notes),,Notes to the above,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5313,,Notice and grounds of oppostion to appeal s.35(1) criminal procedure and investigations act 1996,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5314,,Notice of application for leave to be present at hearing of appeal or applications for leave to appeal s.35(1) criminal procedure and investigations act 1996,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5315,,Notice of Abandonment of proceedings s.35(1) criminal procedure and investigations act 1996,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
,,500,5316,,Determination by single Judge s.35 (1) criminal procedure and investigations act 1996.,M,,,,,,,,,,,,,,,,,,,,,,,,,,HMCTS,Crown,Caroline Grabazs,,,,,,,,,,,,,
